Name,ID,Category,Sub-Category,Quantity,Sale Price,Tax,Total Price,Buy Cost,Profit,Expiration Date
wambpfxEGDEPAtPKlzbRcAkR,0,NonPerishable,-1,268,571.217,0.1,628.339,11.1381,560.079,-1
zwErGllgDsUEENRdJIPMeMKDWGKG,0,NonPerishable,-1,751,4716.79,0.1,5188.47,1837.79,2879,-1
XPKBTBWXgFitJOpZjbDROrzMzmKYDf,1,NonPerishable,-1,511,2634.27,0.1,2897.69,262.343,2371.92,-1
zcAhozyEYOVxdROetwVnYznTXayYZeqA,2,NonPerishable,-1,660,7747.5,0.1,8522.26,885.24,6862.27,-1
dExDJEXVsTKeAqDehPkbwqJILzAmju,2,NonPerishable,-1,795,6317.58,0.1,6949.33,2495.66,3821.92,-1
gzFlElIJelPtKiBoXJ,3,NonPerishable,-1,-375,2186.26,0.1,2404.88,774.697,1411.56,-1
mzvtDNDEVvgqWXDkXnJiiJKBgNK,4,NonPerishable,-1,754,3677.72,0.1,4045.49,1004.83,2672.88,-1
aCbwlAsaZHuv,5,NonPerishable,-1,800,5772.58,0.1,6349.83,1346.32,4426.26,-1
ZthasGGMFJnrB,6,NonPerishable,-1,624,-7779.17,0.1,-8557.09,-2226.26,-5552.91,-1
fRUJlFwpNgIoRUCFZfznwsFRCtqJQS,7,NonPerishable,-1,152,-2993.7,0.1,-3293.07,-825.256,-2168.45,-1
udyjSyYKyehuKobq,8,NonPerishable,-1,779,5247.83,0.1,5772.61,2187.78,3060.04,-1
bwCmhItJHqA,9,NonPerishable,-1,672,3021.2,0.1,3323.32,872.102,2149.1,-1
szlFulMvDEGfaBoc,10,NonPerishable,-1,863,2904.55,0.1,3195.01,1391.85,1512.7,-1
fKeu,11,NonPerishable,-1,173,6047.51,0.1,6652.26,1842.32,4205.19,-1
PaaHQXawOHXwiBgwGkLCjilXZxPTIiJh,12,NonPerishable,-1,60,3137.77,0.1,3451.54,899.822,2237.94,-1
GoI,13,Perishable,-1,779,4565.65,0.1,5022.21,2253.43,2312.22,2/26/2028
KLgZ,14,Perishable,-1,57,9213.83,0.1,10135.2,679.764,8534.07,12/24/2028
sHUSFiPXKTUPKzisbmdrbrncimTx,15,Perishable,-1,964,5015.01,0.1,5516.51,1583.73,3431.28,2/15/2024
tBSKGcZqyvrCbhJaILP,16,Perishable,-1,937,4191.58,0.1,4610.74,364.332,3827.25,5/18/2026
YemOPVWodEbmnBOhCpsHMOjLlBHckcL,17,Perishable,-1,259,1100.17,0.1,1210.19,419.636,680.538,7/16/2023
haFNkSemDQj,18,Perishable,-1,-882,2593.16,0.1,2852.48,479.031,2114.13,4/11/2023
pyeFNSsOvWCgSIxPoX,18,Perishable,-1,912,1888.25,0.1,2077.07,473.173,1415.07,9/6/2025
QIriNTcvxymlIpOaKKYpjOAQ,19,Perishable,-1,-434,5049.53,0.1,5554.48,2406.36,2643.16,9/6/2029
pnzUgeresFMcyqC,20,Perishable,-1,614,9138.8,0.1,10052.7,4561.69,4577.11,6/17/2029
gQtFQLeDfes,21,Perishable,-1,-778,3947.87,0.1,4342.65,1733.79,2214.07,7/2/2035
jrQoyxrqv,22,Perishable,-1,578,-7935.81,0.1,-8729.39,-3634.31,-4301.5,3/24/2027
qlacgJsU,23,Perishable,-1,826,4721.58,0.1,5193.74,2051.21,2670.37,10/9/2035
nRITuORqnjpUfYlfYjqcwImS,23,Perishable,-1,903,7503.06,0.1,8253.36,1829.75,5673.3,3/1/2035
PRVVhVIkRQpKNzmtkjoVfEsIwqs,24,Perishable,-1,997,1601.93,0.1,1762.12,677.258,924.673,5/14/2034
QFxBEwcjCCtqvzHUXPlt,25,Perishable,-1,389,5407.9,0.1,5948.69,1450.63,3957.27,9/7/2029
