Name,ID,Category,Sub-Category,Quantity,Sale Price,Tax,Total Price,Buy Cost,Profit,Expiration Date
LVYDfxbfGCNfuCPjfxHCcC,0,-1,-1,248,4727.52,0.1,4727.62,527.789,4199.73,-1
xBClfehYTpAOWHhN,1,-1,-1,412,4339.89,0.1,4339.99,1856.52,2483.37,-1
uSsyKzIWw,2,-1,-1,322,2665.05,0.1,2665.15,405.798,2259.25,-1
PfLpUfIJSCMATR,3,-1,-1,111,2638.47,0.1,2638.57,502.115,2136.35,-1
gzMxpO,4,-1,-1,768,2438.04,0.1,2438.14,1056.1,1381.93,-1
CAEHsyqjSLfdQyWvBZINHMLhYCXTAWcM,5,-1,-1,508,5953.25,0.1,5953.35,2619.22,3334.03,-1
hSdioJFSWbWBhh,6,-1,-1,793,6448.54,0.1,6448.64,837.273,5611.27,-1
WMKzJXCxJEUJrbnJIabP,7,-1,-1,600,6914.58,0.1,6914.68,2312.07,4602.51,-1
gchuImN,8,-1,-1,787,8052.36,0.1,8052.46,3537.45,4514.91,-1
UvMwrjFABfPsWpjgFmUNzceqKekuCO,9,-1,-1,750,2595.37,0.1,2595.47,1191.06,1404.31,-1
BMerFejSe,10,-1,-1,112,7019.33,0.1,7019.43,2898.87,4120.45,-1
dOMdaZUYEyoOUhrPIbunnSWlH,11,-1,-1,743,5571.57,0.1,5571.67,2450.22,3121.36,-1
YOHZ,12,-1,-1,775,3995.84,0.1,3995.94,485.134,3510.71,-1
JgBmjfIxqDhsmlwkatmHfppRVMxCc,13,-1,-1,865,4585.93,0.1,4586.03,1366.23,3219.7,-1
BdIEknwxbbmVCzVaapnTifoPtnJ,14,-1,-1,33,750.522,0.1,750.622,342.107,408.415,-1
KoTNjPintLALzKPTIzNtpJeWj,15,-1,-1,473,3083.87,0.1,3083.97,693.56,2390.31,-1
alcagTkPyENYaAYvhsxREJnI,16,-1,-1,800,3598.32,0.1,3598.42,1722.05,1876.27,-1
stumKtmSAfGBWgSQqdgmwGmn,17,-1,-1,70,5812.88,0.1,5812.98,2748.35,3064.53,-1
KzXCqNyUoOcqZbCITCXsZaO,18,-1,-1,710,736.973,0.1,737.073,156.24,580.733,-1
WpSHdExKuU,19,-1,-1,283,3671.94,0.1,3672.04,1775.36,1896.58,-1
xaTsRWFUxqH,20,-1,-1,292,2765.78,0.1,2765.88,181.437,2584.34,-1
UrrkmTszcBIpxwgtxfl,21,-1,-1,88,3345.22,0.1,3345.32,1218.15,2127.07,-1
xbkMjPFDvVSgjIkxqAXOqftylimNj,22,-1,-1,194,932.67,0.1,932.77,283.701,648.969,-1
uQyRXHIZsBWZXSMQolz,23,-1,-1,893,5808.01,0.1,5808.11,522.044,5285.97,-1
iyuwctnQYiKQQQBvUg,24,-1,-1,247,9243.79,0.1,9243.89,1906.15,7337.64,-1
rUK,25,-1,-1,710,9587.41,0.1,9587.51,2271.91,7315.5,-1
rwqbvrtNqEUUd,26,-1,-1,994,2612.29,0.1,2612.39,822.145,1790.14,-1
WaiFBPmnw,27,-1,-1,210,5132.97,0.1,5133.07,35.9833,5096.99,-1
SHiKMrRHfehdkUHHGCFwzs,28,-1,-1,623,2729.71,0.1,2729.81,25.5773,2704.13,-1
bNkhwTnwrM,29,-1,-1,404,8813.89,0.1,8813.99,1834.4,6979.49,-1
GHdX,30,-1,-1,776,2997.88,0.1,2997.98,715.054,2282.82,-1
ZKPbpJDUW,31,-1,-1,804,1579.07,0.1,1579.17,554.357,1024.72,-1
vzVpaBseBIsmDHnEgZinaTixzP,32,-1,-1,329,7435.88,0.1,7435.98,2276.59,5159.28,-1
oEHjAfyqIcQOAQKsnJoimhPhmyP,33,-1,-1,957,1270.35,0.1,1270.45,180.403,1089.94,-1
zDxKC,34,-1,-1,407,9558.85,0.1,9558.95,2127.97,7430.88,-1
puitXucalLwtouqoQNCFsWumGv,35,-1,-1,299,9066.05,0.1,9066.15,1717.38,7348.68,-1
lnmbYTIJXIzVJWycRjsdzu,36,-1,-1,91,123.196,0.1,123.296,52.8071,70.3886,-1
xnLqPXUHGdZUBEHRQtCWrlHmWIfZaG,37,-1,-1,944,8451.15,0.1,8451.25,1377.39,7073.76,-1
iihlHcVfiAtQoKn,38,-1,-1,961,5437.1,0.1,5437.2,1346.39,4090.71,-1
XhjjERzh,39,-1,-1,805,3171.43,0.1,3171.53,1483.1,1688.32,-1
eZB,40,-1,-1,991,9710.72,0.1,9710.82,439.478,9271.24,-1
uwPiXxXXiapKvUvXlIPYPBCH,41,-1,-1,777,4326.78,0.1,4326.88,2064.32,2262.46,-1
mvrXBBUnWpOFXemFkIbAsvIwo,42,-1,-1,812,378.665,0.1,378.765,141.375,237.289,-1
pwIwi,43,-1,-1,96,8470.74,0.1,8470.84,3886.73,4584.01,-1
McstxHXvKiVCwClShAdVBDKCnaLV,44,-1,-1,628,4563.46,0.1,4563.56,1750.26,2813.2,-1
ZLTLgqtKIDHXDSR,45,-1,-1,389,1568.47,0.1,1568.57,3.55008,1564.92,-1
akrFRsZbIkEtvKqFyvNgs,46,-1,-1,751,7070.91,0.1,7071.01,575.528,6495.39,-1
MFHsIUcaoZ,47,-1,-1,950,5571.24,0.1,5571.34,2124.05,3447.19,-1
rWWlprhgM,48,-1,-1,830,646.539,0.1,646.639,229.102,417.437,-1
gvXqzvjRng,49,-1,-1,183,756.582,0.1,756.682,293.28,463.303,-1
LyHUfTaaIJiDBm,50,-1,-1,64,4872.57,0.1,4872.67,62.6047,4809.96,-1
vvddZzGJwXvRSAJS,51,-1,-1,607,9694.82,0.1,9694.92,2755.17,6939.65,-1
VuydaysSiWsPvzLEJndVoOwZanLX,52,-1,-1,770,5450.82,0.1,5450.92,926.568,4524.25,-1
UPvRqhNV,53,-1,-1,282,2351.95,0.1,2352.05,665.449,1686.5,-1
X,54,-1,-1,865,9905.53,0.1,9905.63,2065.97,7839.56,-1
OfPBsEnJqmFbnmFKpKGuieQwaztdMLd,55,-1,-1,919,5618.78,0.1,5618.88,865.605,4753.17,-1
UPmPMxWzPQiHn,56,-1,-1,784,2093.87,0.1,2093.97,948.43,1145.44,-1
UNPWgrgNMWWwHoJrJukzc,57,-1,-1,89,4489.98,0.1,4490.08,724.797,3765.19,-1
kEvfnepoNXCjHyQsVEfSuaKy,58,-1,-1,501,9209.81,0.1,9209.91,2572.03,6637.78,-1
cEouUWlmzjDpzmihMdLipcSwyvM,59,-1,-1,670,9010.55,0.1,9010.65,2305.78,6704.77,-1
ezgdJIaetEMjRhHNo,60,-1,-1,701,9746.52,0.1,9746.62,2478.99,7267.54,-1
MZSUFitwWWNDjEPaenHa,61,-1,-1,244,6990.34,0.1,6990.44,2531.53,4458.81,-1
VidmJtfmXNVFBljXJVvyO,62,-1,-1,232,6501.92,0.1,6502.02,3126.58,3375.34,-1
TUUewNGQnugKNW,63,-1,-1,25,2971.51,0.1,2971.61,968.519,2002.99,-1
TifIsAQOFfKzlezTdJx,64,-1,-1,793,9033.44,0.1,9033.54,2026.48,7006.96,-1
FhjE,65,-1,-1,14,831.969,0.1,832.069,47.0421,784.926,-1
qcIaGyUSEHZqx,66,-1,-1,487,6161.06,0.1,6161.16,2895.54,3265.53,-1
fOYwzNYDOKvjLv,67,-1,-1,977,7306.1,0.1,7306.2,352.851,6953.25,-1
DcUaUidJs,68,-1,-1,179,4997.38,0.1,4997.48,1438.61,3558.78,-1
yUmTtqlfTnqYIzVQFdowVpCkEEZMosz,69,-1,-1,90,2514.26,0.1,2514.36,433.365,2080.9,-1
