Name,ID,Category,Sub-Category,Quantity,Sale Price,Tax,Total Price,Buy Cost,Profit,Expiration Date
ADuUFRjytHzxmkqrEKWNZYrzMgdgH,496,Perishable,-1,274,4550.75,0.1,5005.82,1557.05,2993.7,3/6/2029
AIJflQTnhbGSsf,559,Perishable,-1,856,127.622,0.1,140.384,59.3377,68.2843,3/1/2030
AKdnjbqpTzGqhOltKFmUvWJt,337,NonPerishable,-1,700,886.574,0.1,975.231,396.247,490.327,-1
AMoaHqSPDzad,510,Perishable,-1,408,5885.65,0.1,6474.21,2451,3434.65,9/16/2029
ANYSIfeDerxoBomje,493,Perishable,-1,117,7467.67,0.1,8214.44,1825.3,5642.37,3/23/2029
ASUJhQaOOfuTDSOcfZWMVE,278,NonPerishable,-1,224,6296.78,0.1,6926.46,2306.87,3989.91,-1
ATxUInJADANKmqld,126,NonPerishable,-1,848,4385.01,0.1,4823.51,1876.28,2508.73,-1
AWoOQhTUutivohXEEyU,154,NonPerishable,-1,411,8868.82,0.1,9755.7,792.029,8076.79,-1
AXgAWDUcFHSQOyUbSBRUEccvFg,379,Perishable,-1,84,8346.9,0.1,9181.59,2974.16,5372.74,6/28/2032
AbKLmMMnOKrmqoBCSoPhCKhnernwl,344,NonPerishable,-1,80,7940.55,0.1,8734.6,659.141,7281.41,-1
AkdEoDKTrzYnaU,149,NonPerishable,-1,570,887.694,0.1,976.463,317.422,570.272,-1
AppleJuice,1337,Perishable,None,13,0,0.1,0,0,0,3/22/34
ArMWUGiUQmCTMDDTFyqCRcJcVJu,318,NonPerishable,-1,310,2713.32,0.1,2984.65,304.057,2409.26,-1
AtCvrseKyLJzYQkBdBMSRD,104,NonPerishable,-1,377,7314.04,0.1,8045.44,2584.35,4729.69,-1
AvuKVsqnVoXJmuOBRgaGQrQgXrTuo,146,NonPerishable,-1,571,297.284,0.1,327.012,80.2987,216.985,-1
BEQQgJPfsY,566,Perishable,-1,522,3733.01,0.1,4106.31,616.408,3116.6,6/9/2026
BJWJyJsidlzzXcogNbVXm,590,Perishable,-1,167,5904.14,0.1,6494.55,1584.91,4319.23,3/26/2030
BJnHiQllmFGHxJjHWKvgugbUiHzSXCGy,470,Perishable,-1,328,2205.63,0.1,2426.19,263.813,1941.82,11/6/2032
BLcqcIW,118,NonPerishable,-1,290,237.467,0.1,261.214,96.35,141.117,-1
BMfOdAyMxieRmmrxFlnXQISAiuhZo,587,Perishable,-1,93,998.149,0.1,1097.96,159.687,838.462,4/16/2035
BRKsMmTNVR,300,NonPerishable,-1,989,5026.56,0.1,5529.22,2283.04,2743.52,-1
BVNrDAgxMAVQztCe,187,NonPerishable,-1,4,3988.2,0.1,4387.02,405.348,3582.85,-1
BaZQDDLnLfZmXBjFNtjApTrBuHsKD,232,NonPerishable,-1,727,405.517,0.1,446.069,66.5788,338.938,-1
BoBjYMiduKRwheodyCr,388,Perishable,-1,255,3267.12,0.1,3593.83,321.822,2945.3,5/25/2031
BsmCISkrxbVDe,455,Perishable,-1,788,9958.34,0.1,10954.2,2911.53,7046.81,3/27/2034
COFfItjSLRntriBJf,174,NonPerishable,-1,587,2723.97,0.1,2996.37,1295.8,1428.17,-1
CXYIHZIGuI,565,Perishable,-1,45,6226.82,0.1,6849.5,2708.96,3517.86,9/13/2025
CwwtEQNglGXTALB,273,NonPerishable,-1,132,6088.3,0.1,6697.13,2501.18,3587.12,-1
D,183,NonPerishable,-1,266,195.442,0.1,214.986,53.7434,141.699,-1
DBVugHtmSwpXsqzos,401,Perishable,-1,592,6439.49,0.1,7083.44,1915.63,4523.86,6/3/2031
DCHHKsWjTUyKAlWcHTbLHj,157,NonPerishable,-1,519,7240.99,0.1,7965.09,32.4523,7208.54,-1
DGmRaPmLxGXYrrClF,153,NonPerishable,-1,504,1010.14,0.1,1111.15,34.0043,976.136,-1
DPrVStLUKFwhPdoRhrLRKemw,220,NonPerishable,-1,399,3970.96,0.1,4368.06,150.369,3820.59,-1
DRoiDGGOmRLPTpSPLaNvUwTMxAI,199,NonPerishable,-1,899,6325.61,0.1,6958.17,796.167,5529.44,-1
DSBQut,548,Perishable,-1,311,2010.02,0.1,2211.02,473.586,1536.43,1/11/2027
DdFFipvNIHsoCbHJXt,426,Perishable,-1,791,1479.14,0.1,1627.05,430.269,1048.87,11/1/2025
DdbikgZM,351,Perishable,-1,69,1073.46,0.1,1180.81,23.5573,1049.9,10/6/2031
DddYQOFwjKOawWss,348,NonPerishable,-1,89,2440.67,0.1,2684.74,878.872,1561.8,-1
DfENoC,240,NonPerishable,-1,876,376.319,0.1,413.951,66.2158,310.103,-1
DrcpIbXJYnACpjMhsTQChZIlEjO,210,NonPerishable,-1,358,7125.72,0.1,7838.29,1291.84,5833.88,-1
DvQKkSxkLclz,336,NonPerishable,-1,726,7042.57,0.1,7746.83,2022.7,5019.87,-1
DxbqdjBeauNHxkDIGA,294,NonPerishable,-1,148,178.35,0.1,196.185,54.9907,123.359,-1
EDMZWauggTH,108,NonPerishable,-1,521,2108,0.1,2318.8,81.5852,2026.41,-1
EHWcSiwtmH,188,NonPerishable,-1,459,5940,0.1,6534,1509.69,4430.31,-1
ETezdDkRsvklwMsTXoGxDac,581,Perishable,-1,505,2988.83,0.1,3287.71,142.115,2846.72,9/3/2033
EesOQqZ,249,NonPerishable,-1,345,2189.96,0.1,2408.96,414.225,1775.74,-1
EmWotFVFWjIvvsjhWdizmZJnmvCKjJqC,120,NonPerishable,-1,545,7729.21,0.1,8502.13,2610.18,5119.03,-1
EsAUvPxrpnuztXTbBZNKujEwLxedjkX,560,Perishable,-1,622,443.098,0.1,487.408,173.566,269.532,1/27/2031
FMqJkzPIVhqqcdScDshgoqTV,397,Perishable,-1,995,2733.29,0.1,3006.62,249.109,2484.18,6/19/2028
FNfyVyAIbpApKAmHpSOPgHIAuJsh,454,Perishable,-1,825,6886.72,0.1,7575.39,1590.83,5295.89,11/24/2024
FUqgvcnCasvsuoEW,447,Perishable,-1,453,7049.96,0.1,7754.96,656.053,6393.91,11/12/2025
FYciMtVdVxnUSKjYpoPqqLolIr,134,NonPerishable,-1,501,5706.5,0.1,6277.15,2496.55,3209.95,-1
FYyEuWBjOxDMCDHYmPsyvjiQASE,182,NonPerishable,-1,378,5371.71,0.1,5908.88,834.506,4537.2,-1
FeScHjKvSbiuXtjAqAmshDcyEyNlR,324,NonPerishable,-1,733,5234.51,0.1,5757.96,2445.16,2789.35,-1
