Sale_ID, Item_ID, Quantity_Sold, Sale_Price
1,2,3,5.4519
1,36,1,5.41789
1,15,1,5.51239
1,10,3,5.63956
2,26,2,5.48528
1,5,3,5.55288
1,38,1,5.54905
1,8,1,5.35115
1,6,3,5.52344
1,12,2,5.60043
1,7,3,5.43021
1,6,2,5.52344
1,42,1,5.47279
1,32,1,5.46735
2,7,1,5.43021
1,47,3,5.55449
1,23,3,5.55044
1,49,2,5.62863
1,45,3,5.6496
1,10,3,5.63956
1,26,3,5.48528
1,0,2,5.84389
1,23,2,5.55044
1,39,3,5.50322
1,22,3,5.49019
1,14,2,5.58521
1,22,1,5.49019
1,42,1,5.47279
1,45,3,5.6496
1,12,3,5.60043
1,13,3,5.40597
2,47,1,5.55449
3,44,2,5.55054
3,27,2,5.39246
3,11,2,5.50053
3,0,1,5.84389
3,13,1,5.40597
4,39,1,5.50322
4,39,1,5.50322
4,31,3,5.7191
4,29,1,5.25344
1,29,2,5.25344
2,9,3,5.33961
2,16,3,5.43751
2,38,3,5.54905
2,9,3,5.33961
3,8,3,5.35115
3,12,3,5.60043
3,43,1,5.52801
4,5,3,5.55288
4,8,2,5.35115
4,45,2,5.6496
4,15,2,5.51239
1,38,2,5.54905
1,42,1,5.47279
1,33,3,5.62998
1,41,1,5.51189
1,37,2,5.64865
2,23,1,5.55044
2,45,2,5.6496
2,45,1,5.6496
2,7,2,5.43021
3,12,3,5.60043
3,16,3,5.43751
4,24,2,5.40274
4,30,2,5.5081
4,48,1,5.40682
4,44,1,5.55054
4,21,1,5.50251
1,16,1,5.43751
1,35,3,5.62606
1,3,1,5.43608
1,35,2,5.62606
2,18,2,5.6086
2,40,3,5.53597
2,15,2,5.51239
3,2,3,5.4519
3,16,1,5.43751
1,49,1,5.62863
1,32,2,5.46735
1,8,2,5.35115
1,43,1,5.52801
1,40,2,5.53597
1,9,2,5.33961
1,30,3,5.5081
1,44,2,5.55054
2,16,3,5.43751
2,46,3,5.41225
3,17,3,5.33439
3,9,2,5.33961
3,2,2,5.4519
3,20,2,5.48505
3,42,3,5.47279
1,24,3,5.40274
1,45,1,5.6496
1,36,1,5.41789
2,17,2,5.33439
2,19,2,5.63291
1,0,3,5.84389
1,37,3,5.64865
1,33,2,5.62998
1,18,2,5.6086
1,29,1,5.25344
1,11,1,5.50053
1,41,1,5.51189
1,2,3,5.4519
1,36,2,5.41789
2,44,1,5.55054
2,39,3,5.50322
2,20,1,5.48505
2,48,2,5.40682
2,45,3,5.6496
1,24,2,5.40274
1,35,1,5.62606
1,24,3,5.40274
1,27,2,5.39246
2,4,2,5.42794
2,30,1,5.5081
3,49,1,5.62863
3,1,1,5.60919
3,10,2,5.63956
3,42,3,5.47279
3,5,2,5.55288
1,0,2,5.84389
1,26,2,5.48528
1,45,1,5.6496
1,7,1,5.43021
1,38,3,5.54905
1,3,3,5.43608
2,45,2,5.6496
1,32,1,5.46735
1,27,1,5.39246
1,12,3,5.60043
2,23,3,5.55044
2,40,1,5.53597
2,44,1,5.55054
3,19,3,5.63291
1,35,1,5.62606
1,31,3,5.7191
1,24,3,5.40274
2,43,2,5.52801
1,5,2,5.55288
1,33,2,5.62998
1,1,2,5.60919
1,29,3,5.25344
1,39,2,5.50322
1,12,2,5.60043
1,14,2,5.58521
1,20,2,5.48505
2,17,2,5.33439
2,8,3,5.35115
2,40,2,5.53597
2,12,1,5.60043
2,27,2,5.39246
3,47,2,5.55449
3,38,2,5.54905
3,37,2,5.64865
1,32,3,5.46735
1,21,2,5.50251
2,39,1,5.50322
2,37,3,5.64865
2,6,3,5.52344
2,9,2,5.33961
2,31,3,5.7191
1,6,1,5.52344
1,4,2,5.42794
1,43,3,5.52801
1,48,1,5.40682
1,43,2,5.52801
1,15,2,5.51239
1,3,3,5.43608
2,14,2,5.58521
2,6,1,5.52344
3,23,3,5.55044
3,24,2,5.40274
1,13,2,5.40597
1,33,3,5.62998
1,13,1,5.40597
1,48,1,5.40682
1,32,3,5.46735
2,43,2,5.52801
2,41,3,5.51189
2,24,2,5.40274
3,26,1,5.48528
3,32,1,5.46735
3,11,2,5.50053
3,24,3,5.40274
1,0,3,5.84389
1,35,2,5.62606
1,33,2,5.62998
1,13,1,5.40597
1,4,1,5.42794
1,43,1,5.52801
1,12,1,5.60043
1,34,3,5.42441
1,17,3,5.33439
2,2,3,5.4519
2,46,1,5.41225
3,20,1,5.48505
3,30,2,5.5081
3,32,3,5.46735
3,27,1,5.39246
3,46,3,5.41225
4,5,3,5.55288
5,35,1,5.62606
6,11,1,5.50053
6,14,1,5.58521
6,38,1,5.54905
6,10,2,5.63956
6,40,2,5.53597
7,4,2,5.42794
7,43,2,5.52801
7,37,2,5.64865
8,11,3,5.50053
9,21,1,5.50251
9,22,1,5.49019
9,40,1,5.53597
9,21,2,5.50251
9,31,3,5.7191
10,6,2,5.52344
10,7,2,5.43021
10,11,3,5.50053
10,28,2,5.64987
11,0,1,5.84389
11,39,2,5.50322
1,25,3,5.61216
1,22,3,5.49019
1,8,1,5.35115
1,7,1,5.43021
1,14,2,5.58521
1,28,1,5.64987
1,21,2,5.50251
1,32,3,5.46735
1,46,1,5.41225
2,6,2,5.52344
2,16,3,5.43751
2,39,1,5.50322
2,34,3,5.42441
2,30,2,5.5081
1,20,1,5.48505
1,34,2,5.42441
1,30,2,5.5081
1,31,3,5.7191
1,17,2,5.33439
1,39,2,5.50322
1,26,2,5.48528
1,5,1,5.55288
1,2,2,5.4519
2,32,1,5.46735
2,31,1,5.7191
2,5,3,5.55288
2,30,1,5.5081
1,31,1,5.7191
1,9,2,5.33961
1,23,1,5.55044
1,36,2,5.41789
2,36,3,5.41789
2,8,2,5.35115
2,26,2,5.48528
2,18,1,5.6086
3,13,2,5.40597
1,3,2,5.43608
1,32,2,5.46735
1,12,3,5.60043
1,25,2,5.61216
2,15,2,5.51239
2,3,3,5.43608
2,17,2,5.33439
2,32,3,5.46735
2,18,3,5.6086
1,8,3,5.35115
1,12,3,5.60043
1,27,2,5.39246
1,6,3,5.52344
2,18,3,5.6086
2,28,3,5.64987
1,39,2,5.50322
1,11,1,5.50053
2,44,2,5.55054
2,22,1,5.49019
2,5,1,5.55288
2,12,2,5.60043
2,36,1,5.41789
3,38,3,5.54905
3,9,1,5.33961
3,46,2,5.41225
3,16,3,5.43751
3,28,2,5.64987
1,24,3,5.40274
1,22,2,5.49019
1,1,1,5.60919
1,2,3,5.4519
1,33,1,5.62998
1,34,1,5.42441
1,16,2,5.43751
1,38,1,5.54905
1,48,1,5.40682
1,21,1,5.50251
1,42,3,5.47279
1,20,1,5.48505
2,49,1,5.62863
2,41,3,5.51189
2,6,2,5.52344
1,4,2,5.42794
1,33,2,5.62998
1,22,2,5.49019
1,21,3,5.50251
1,39,2,5.50322
1,7,2,5.43021
2,16,3,5.43751
1,47,3,5.55449
1,33,3,5.62998
2,25,1,5.61216
3,35,3,5.62606
3,39,3,5.50322
3,32,3,5.46735
3,31,1,5.7191
3,6,1,5.52344
4,3,1,5.43608
4,30,3,5.5081
4,5,3,5.55288
4,46,3,5.41225
5,5,1,5.55288
5,11,1,5.50053
5,14,2,5.58521
1,28,1,5.64987
1,40,1,5.53597
1,17,1,5.33439
1,24,3,5.40274
1,9,2,5.33961
1,4,1,5.42794
1,17,2,5.33439
2,28,3,5.64987
2,6,2,5.52344
2,11,3,5.50053
2,40,1,5.53597
2,2,3,5.4519
3,13,3,5.40597
4,44,2,5.55054
4,17,3,5.33439
4,30,1,5.5081
4,45,1,5.6496
5,41,1,5.51189
5,2,1,5.4519
5,16,2,5.43751
5,47,3,5.55449
5,35,3,5.62606
1,46,3,5.41225
2,25,2,5.61216
2,11,2,5.50053
2,10,1,5.63956
2,24,2,5.40274
3,15,1,5.51239
4,21,3,5.50251
1,28,3,5.64987
1,11,3,5.50053
1,6,2,5.52344
1,46,3,5.41225
1,7,2,5.43021
2,42,2,5.47279
2,23,3,5.55044
2,28,2,5.64987
2,33,1,5.62998
3,48,2,5.40682
3,23,3,5.55044
3,16,2,5.43751
3,47,3,5.55449
3,37,1,5.64865
1,13,3,5.40597
1,37,3,5.64865
1,49,1,5.62863
1,2,1,5.4519
2,4,3,5.42794
2,31,2,5.7191
3,45,1,5.6496
3,18,1,5.6086
3,9,2,5.33961
3,2,3,5.4519
4,20,1,5.48505
4,13,1,5.40597
4,44,3,5.55054
4,16,3,5.43751
5,33,2,5.62998
1,18,1,5.6086
2,34,2,5.42441
3,4,3,5.42794
3,32,3,5.46735
3,24,3,5.40274
3,6,2,5.52344
1,23,3,5.55044
1,43,2,5.52801
1,20,1,5.48505
2,27,2,5.39246
2,6,3,5.52344
2,25,3,5.61216
3,44,1,5.55054
3,39,1,5.50322
3,49,3,5.62863
3,14,3,5.58521
3,44,2,5.55054
1,7,1,5.43021
1,28,2,5.64987
1,27,3,5.39246
1,10,2,5.63956
1,49,1,5.62863
2,35,3,5.62606
2,45,2,5.6496
2,12,3,5.60043
2,48,3,5.40682
3,22,1,5.49019
3,11,2,5.50053
3,19,2,5.63291
3,48,3,5.40682
4,44,2,5.55054
1,38,2,5.54905
1,23,1,5.55044
2,22,2,5.49019
2,19,2,5.63291
2,9,1,5.33961
1,44,2,5.55054
2,10,1,5.63956
2,32,3,5.46735
2,39,2,5.50322
2,15,3,5.51239
2,28,1,5.64987
1,46,3,5.41225
1,11,1,5.50053
1,25,3,5.61216
1,22,3,5.49019
1,3,3,5.43608
1,10,2,5.63956
2,48,2,5.40682
2,17,1,5.33439
2,5,1,5.55288
2,8,1,5.35115
3,17,2,5.33439
3,45,2,5.6496
3,16,2,5.43751
1,18,1,5.6086
1,22,1,5.49019
1,30,1,5.5081
1,0,1,5.84389
1,9,3,5.33961
1,10,1,5.63956
1,12,1,5.60043
1,19,2,5.63291
1,44,3,5.55054
1,3,1,5.43608
1,49,2,5.62863
2,0,1,5.84389
2,45,2,5.6496
2,49,1,5.62863
2,21,3,5.50251
3,30,3,5.5081
3,28,2,5.64987
3,26,2,5.48528
3,37,2,5.64865
3,24,1,5.40274
1,45,3,5.6496
2,32,2,5.46735
3,5,3,5.55288
3,44,2,5.55054
4,33,3,5.62998
4,13,2,5.40597
5,32,1,5.46735
5,28,2,5.64987
5,7,1,5.43021
5,44,3,5.55054
5,13,2,5.40597
1,49,1,5.62863
1,40,2,5.53597
1,49,3,5.62863
1,16,2,5.43751
1,49,2,5.62863
1,30,1,5.5081
1,33,3,5.62998
1,8,1,5.35115
2,35,2,5.62606
2,0,2,5.84389
2,5,1,5.55288
2,1,1,5.60919
3,34,1,5.42441
4,29,3,5.25344
4,34,2,5.42441
4,25,2,5.61216
5,12,2,5.60043
5,22,1,5.49019
5,43,1,5.52801
5,28,2,5.64987
5,7,2,5.43021
1,18,1,5.6086
2,45,1,5.6496
2,43,3,5.52801
2,16,1,5.43751
2,43,1,5.52801
1,27,2,5.39246
1,18,3,5.6086
1,38,1,5.54905
1,39,1,5.50322
1,29,3,5.25344
1,35,3,5.62606
1,10,1,5.63956
2,25,1,5.61216
2,41,3,5.51189
2,42,1,5.47279
2,2,1,5.4519
1,40,2,5.53597
1,46,3,5.41225
1,24,3,5.40274
1,9,2,5.33961
1,28,1,5.64987
1,13,1,5.40597
1,45,1,5.6496
1,18,3,5.6086
1,10,3,5.63956
1,13,2,5.40597
1,16,2,5.43751
2,3,1,5.43608
2,6,3,5.52344
3,48,3,5.40682
3,41,3,5.51189
3,18,1,5.6086
3,30,3,5.5081
3,9,1,5.33961
1,14,1,5.58521
1,29,3,5.25344
1,31,3,5.7191
1,19,2,5.63291
1,9,2,5.33961
1,38,3,5.54905
1,40,1,5.53597
1,30,2,5.5081
1,12,1,5.60043
1,29,3,5.25344
1,46,2,5.41225
1,13,3,5.40597
1,33,2,5.62998
1,14,2,5.58521
1,27,1,5.39246
1,38,3,5.54905
2,39,2,5.50322
2,21,1,5.50251
2,33,1,5.62998
3,43,2,5.52801
3,5,1,5.55288
3,21,2,5.50251
1,26,3,5.48528
1,2,2,5.4519
1,46,1,5.41225
