Name,ID,Category,Sub-Category,Quantity,Sale Price,Tax,Total Price,Buy Cost,Profit,Expiration Date
AppleJuice,1337,Perishable,None,18446744073709551609,0,0,0,0,0,0
FSlqBcQEewUXAmDDrYvTuLRXPMexzv,1,NonPerishable,-1,871,3254.64,0.1,3580.1,749.334,2505.31,-1
GJXuOR,0,NonPerishable,-1,832,4888.28,0.1,5377.1,2204.62,2683.65,-1
KYEAiNxYdGcaAomsTKXeByPfJ,13,Perishable,-1,162,9476.19,0.1,10423.8,3224.31,6251.87,9/4/2028
OIkVFdERJlXWY,10,Perishable,-1,933,3193.11,0.1,3512.42,953.213,2239.9,1/24/2024
ORhXfZaqLyBizbSvSJLvyywmujUtki,14,Perishable,-1,85,6619.6,0.1,7281.56,24.7918,6594.81,12/26/2028
SB,18,Perishable,-1,103,1066.18,0.1,1172.8,180.551,885.633,3/18/2034
TBBdjXjDZGVrwrTM,19,Perishable,-1,186,9287.7,0.1,10216.5,1463.14,7824.56,8/26/2034
UkiyYZAFDLRjlzpXWVnQz,16,Perishable,-1,983,966.038,0.1,1062.64,120.823,845.215,6/1/2032
YflCuQuzydfrztUieq,3,NonPerishable,-1,465,3245.55,0.1,3570.11,251.316,2994.24,-1
bcaeuaTiRatS,9,NonPerishable,-1,487,1418.47,0.1,1560.32,628.649,789.822,-1
eFaKlQZchlldEXOgip,8,NonPerishable,-1,378,3679.67,0.1,4047.64,115.585,3564.09,-1
eWVeYahJEvFXUNdopTdSZUQUEERqciC,12,Perishable,-1,195,7958.28,0.1,8754.11,3879.93,4078.35,7/11/2024
fbmfOWfzauxRhDpXoTuIf,11,Perishable,-1,273,325.033,0.1,357.536,74.9945,250.038,7/27/2033
gYFiZwMqgkh,5,NonPerishable,-1,553,9569.82,0.1,10526.8,3244.03,6325.79,-1
ivixwSpURN,15,Perishable,-1,691,3445.32,0.1,3789.85,625.698,2819.62,12/2/2029
kFKQoRWecj,4,NonPerishable,-1,549,2828.96,0.1,3111.86,268.09,2560.87,-1
kGNRxvrZh,6,NonPerishable,-1,117,5908.67,0.1,6499.53,1715.1,4193.57,-1
kQhTLGQTsXHAzcmaGnmogUI,7,NonPerishable,-1,855,8022.35,0.1,8824.59,491.734,7530.62,-1
siubDtzoMjsLkyQyap,2,NonPerishable,-1,538,4122.75,0.1,4535.02,1686.29,2436.45,-1
tTkuxsVZDvyavgwGudaHyFeqaKxDHRQz,17,Perishable,-1,810,9629.96,0.1,10593,2841.81,6788.15,2/7/2028
